employee_id,hire_date,department,level,salary,tenure_years,performance_score,projects_completed,hours_worked,bonus_amount
EMP-0052,2024-05-04,HR,Lead,171630.6,10.4,77.1,6,169,13730.45
EMP-0053,2024-05-07,Finance,Mid,88086.66,6.5,91.4,7,157,9689.53
EMP-0054,2024-05-08,Finance,Senior,108235.85,7.9,77.4,4,155,11905.94
EMP-0055,2024-05-08,Marketing,Junior,49813.99,15.0,69.1,4,169,4981.4
EMP-0056,2024-05-09,Finance,Senior,128437.11,0.6,83.6,6,188,14128.08
EMP-0057,2024-05-10,Engineering,Mid,87842.33,1.5,86.3,3,202,13176.35
EMP-0058,2024-05-14,Engineering,Junior,58486.14,4.3,57.3,4,166,8772.92
EMP-0059,2024-05-16,Engineering,Lead,169057.98,3.6,79.2,6,169,25358.7
EMP-0060,2024-05-17,Sales,Junior,64099.14,0.5,,6,146,7691.9
EMP-0061,2024-05-21,Sales,Junior,50086.85,5.1,68.4,3,209,6010.42
EMP-0062,2024-05-23,Engineering,Lead,136456.44,0.8,88.5,2,142,20468.47
EMP-0063,2024-05-26,HR,Lead,132915.39,0.8,70.2,8,193,10633.23
EMP-0064,2024-05-27,Sales,Mid,91806.28,2.3,73.5,4,163,11016.75
EMP-0065,2024-05-27,Engineering,Mid,69073.04,2.7,69.9,4,158,10360.96
EMP-0066,2024-05-29,Sales,Mid,86236.47,2.6,72.2,4,148,10348.38
EMP-0067,2024-06-04,Engineering,Junior,63524.09,0.3,58.8,1,218,9528.61
EMP-0068,2024-06-07,HR,Junior,66038.84,6.3,54.7,10,174,5283.11
EMP-0069,2024-06-08,Engineering,Mid,78946.62,0.9,91.1,6,170,11841.99
EMP-0070,2024-06-10,Finance,Senior,129635.32,0.4,61.8,1,188,14259.89
EMP-0071,2024-06-11,HR,Senior,98367.8,6.6,60.1,8,157,7869.42
EMP-0072,2024-06-12,Engineering,Senior,130743.9,9.3,46.2,6,170,19611.59
EMP-0073,2024-06-12,Engineering,Junior,49554.75,5.9,64.3,3,171,7433.21
EMP-0074,2024-06-19,HR,Mid,80713.19,5.0,56.1,0,160,6457.06
EMP-0075,2024-06-19,Marketing,Junior,64290.5,3.2,91.7,4,194,6429.05
EMP-0076,2024-06-29,Marketing,Mid,72797.36,2.4,84.1,5,166,7279.74
EMP-0077,2024-06-29,HR,Mid,75336.04,0.3,63.7,2,139,6026.88
EMP-0078,2024-06-29,Engineering,Senior,125279.11,1.6,99.0,2,164,18791.87
EMP-0079,2024-06-30,Sales,Mid,91041.17,1.4,83.8,4,175,10924.94
EMP-0080,2024-07-03,Engineering,Junior,60855.25,0.9,68.1,3,152,9128.29
EMP-0081,2024-07-05,Finance,Junior,62016.87,3.9,42.0,7,154,6821.86
EMP-0082,2024-07-06,Marketing,Senior,117379.88,2.1,99.5,7,159,11737.99
EMP-0083,2024-07-06,Sales,Mid,76057.57,0.3,55.3,3,194,9126.91
EMP-0084,2024-07-07,Engineering,Junior,54355.31,0.7,52.3,7,160,8153.3
EMP-0085,2024-07-08,Sales,Junior,50745.15,3.4,84.3,1,199,6089.42
EMP-0086,2024-07-11,Sales,Senior,133471.82,0.2,100.0,2,158,16016.62
EMP-0087,2024-07-12,Marketing,Junior,59584.62,5.7,88.6,3,177,5958.46
EMP-0088,2024-07-12,Marketing,Senior,111137.46,2.1,78.8,3,161,11113.75
EMP-0089,2024-07-13,Finance,Senior,113828.26,2.0,79.1,2,185,12521.11
EMP-0090,2024-07-13,Sales,Junior,67590.23,2.7,82.2,0,148,8110.83
EMP-0091,2024-07-13,Engineering,Junior,50123.73,5.2,81.1,1,185,7518.56
EMP-0092,2024-07-18,Marketing,Lead,151828.87,1.3,75.4,3,172,15182.89
EMP-0093,2024-07-19,HR,Mid,84188.44,3.4,73.3,4,157,6735.08
EMP-0094,2024-07-19,Marketing,Mid,87566.54,2.5,71.2,3,167,8756.65
EMP-0095,2024-07-22,HR,Senior,94296.85,0.9,,5,201,7543.75
EMP-0096,2024-07-24,Sales,Lead,167838.94,6.3,68.6,6,173,20140.67
EMP-0097,2024-07-24,Sales,Lead,171198.62,4.8,51.7,3,156,20543.83
EMP-0098,2024-07-25,Sales,Senior,118365.86,3.2,70.8,2,146,14203.9
EMP-0099,2024-07-29,Engineering,Mid,90292.83,5.7,60.1,3,180,13543.92
EMP-0100,2024-07-29,Engineering,Junior,67044.99,6.1,58.8,3,174,10056.75
EMP-0101,2024-07-30,Engineering,Senior,124618.5,3.7,74.2,3,184,18692.77
EMP-0102,2024-08-02,Marketing,Mid,72881.25,5.4,88.7,6,141,7288.12
EMP-0103,2024-08-04,Sales,Mid,86441.23,3.6,83.0,7,147,10372.95
EMP-0104,2024-08-07,Sales,Lead,152976.04,3.4,53.2,2,193,18357.13
EMP-0105,2024-08-08,Finance,Junior,56080.87,2.9,60.1,4,177,6168.9
EMP-0106,2024-08-12,Engineering,Mid,91566.22,4.2,83.3,3,181,13734.93
EMP-0107,2024-08-19,Sales,Junior,,0.5,60.2,6,151,
EMP-0108,2024-08-24,HR,Mid,97618.19,6.4,69.3,8,150,7809.46
EMP-0109,2024-08-26,Engineering,Junior,56668.47,6.2,78.6,5,190,8500.27
EMP-0110,2024-08-30,Engineering,Junior,49241.24,0.1,60.4,4,191,7386.19
EMP-0111,2024-09-01,Engineering,Junior,68416.51,5.2,73.3,1,148,10262.48
EMP-0112,2024-09-01,Engineering,Mid,94844.74,0.4,56.0,2,144,14226.71
EMP-0113,2024-09-02,Finance,Senior,98985.16,1.2,,5,-10,10888.37
EMP-0114,2024-09-03,HR,Mid,97466.94,4.1,75.8,5,154,7797.36
EMP-0115,2024-09-07,Marketing,Lead,167714.2,0.5,52.9,3,154,16771.42
EMP-0116,2024-09-16,Finance,Mid,84602.82,5.1,77.3,1,145,9306.31
EMP-0117,2024-09-19,HR,Junior,59758.06,5.4,71.8,1,161,4780.64
EMP-0118,2024-09-23,Engineering,Senior,111056.12,2.1,78.6,4,147,16658.42
EMP-0119,2024-09-25,Finance,Junior,47954.76,0.1,74.7,8,148,5275.02
EMP-0120,2024-09-29,Sales,Lead,137771.05,1.0,88.4,3,176,16532.53
EMP-0121,2024-10-01,HR,Junior,64412.78,2.9,73.5,6,169,5153.02
EMP-0122,2024-10-02,Finance,Lead,119259.39,11.9,66.8,1,180,13118.53
EMP-0123,2024-10-04,Sales,Junior,54086.98,3.0,73.5,4,137,6490.44
EMP-0124,2024-10-06,Engineering,Senior,111019.42,0.9,78.5,4,170,16652.91
EMP-0125,2024-10-09,Engineering,Mid,85196.66,3.0,72.6,6,212,12779.5
EMP-0126,2024-10-11,Sales,Lead,170511.91,2.3,72.5,1,163,20461.43
EMP-0127,2024-10-13,HR,Junior,54369.61,4.5,63.6,7,186,4349.57
EMP-0128,2024-10-14,Finance,Mid,79102.5,0.3,64.0,2,186,8701.28
EMP-0129,2024-10-14,Engineering,Lead,160300.07,4.3,55.2,5,187,24045.01
EMP-0130,2024-10-17,Sales,Mid,82470.97,2.3,93.0,6,173,9896.52
EMP-0131,2024-10-20,Sales,Mid,75187.35,9.9,57.1,7,181,9022.48
EMP-0132,2024-10-22,Engineering,Mid,82478.06,1.3,63.7,5,184,12371.71
EMP-0133,2024-10-24,Engineering,Mid,72507.42,3.0,63.4,4,183,10876.11
EMP-0134,2024-10-25,Sales,Mid,73644.38,8.1,,5,148,8837.33
EMP-0135,2024-10-26,Finance,Mid,83947.77,0.3,68.5,5,136,9234.25
EMP-0136,2024-10-28,Sales,Lead,142459.83,8.3,87.0,3,139,17095.18
EMP-0137,2024-10-29,Sales,Junior,66876.61,3.5,63.9,1,165,8025.19
EMP-0138,2024-10-31,Marketing,Junior,54722.67,0.2,75.3,4,182,5472.27
EMP-0139,2024-11-01,Sales,Lead,151512.95,1.1,62.0,8,148,18181.55
EMP-0140,2024-11-05,Finance,Senior,121319.63,3.7,97.7,3,188,13345.16
EMP-0141,2024-11-08,Finance,Mid,68419.02,0.2,57.7,2,160,7526.09
EMP-0142,2024-11-09,Engineering,Mid,89233.2,2.6,75.7,4,160,13384.98
EMP-0143,2024-11-11,Sales,Junior,50666.79,1.3,79.6,3,153,6080.01
EMP-0144,2024-11-11,Sales,Junior,67893.55,2.9,77.0,3,132,8147.23
EMP-0145,2024-11-12,Engineering,Mid,72757.21,0.1,69.8,2,175,10913.58
EMP-0146,2024-11-12,Engineering,Mid,81267.97,6.2,70.4,5,204,12190.2
EMP-0147,2024-11-16,Marketing,Mid,70731.19,10.9,72.5,5,169,7073.12
EMP-0148,2024-11-16,Sales,Junior,68681.23,10.4,70.2,4,133,8241.75
EMP-0149,2024-11-17,Engineering,Lead,147122.92,4.2,83.6,3,186,22068.44
EMP-0150,2024-11-19,Engineering,Lead,152341.56,0.4,98.5,7,138,22851.23
EMP-0151,2024-11-21,Finance,Mid,70146.45,4.3,65.3,4,146,7716.11
EMP-0152,2024-11-21,Engineering,Mid,91998.74,0.1,55.6,3,165,13799.81
EMP-0153,2024-11-22,Engineering,Junior,51367.92,0.1,,0,172,7705.19
EMP-0154,2024-11-23,Sales,Senior,133014.39,1.2,100.0,2,150,15961.73
EMP-0155,2024-11-26,Finance,Mid,74564.47,2.0,62.4,3,164,8202.09
EMP-0156,2024-11-27,Engineering,Junior,50945.13,4.4,91.7,3,184,7641.77
EMP-0157,2024-11-29,Marketing,Lead,121046.78,3.4,92.1,5,187,12104.68
EMP-0158,2024-11-30,HR,Senior,114270.95,1.8,65.4,4,195,9141.68
EMP-0159,2024-12-01,Engineering,Lead,150631.1,1.0,78.8,5,208,22594.67
EMP-0160,2024-12-02,Marketing,Senior,96391.18,15.0,91.5,7,186,9639.12
EMP-0161,2024-12-04,Sales,Mid,92816.88,1.7,67.5,3,166,11138.03
EMP-0162,2024-12-05,Marketing,Mid,82505.24,1.8,69.6,5,187,8250.52
EMP-0163,2024-12-06,Marketing,Lead,148365.86,0.5,65.0,2,179,14836.59
EMP-0164,2024-12-09,Sales,Senior,112893.56,4.8,59.8,6,180,13547.23
EMP-0165,2024-12-13,Engineering,Junior,55566.79,3.5,64.2,5,174,8335.02
EMP-0166,2024-12-13,HR,Junior,59062.09,0.7,57.3,6,152,4724.97
EMP-0167,2024-12-13,Sales,Mid,72967.69,0.3,72.4,3,149,8756.12
EMP-0168,2024-12-20,Engineering,Senior,101504.84,3.4,62.8,2,168,15225.73
EMP-0169,2024-12-21,Engineering,Lead,167259.99,3.2,74.8,1,173,25089.0
EMP-0170,2024-12-23,Marketing,Junior,67564.54,1.0,53.3,2,156,6756.45
EMP-0171,2024-12-24,Marketing,Mid,79945.9,9.0,76.0,3,178,7994.59
EMP-0172,2024-12-26,Engineering,Mid,76663.83,0.5,82.0,2,212,11499.57
EMP-0173,2024-12-28,Sales,Lead,155063.97,1.7,48.1,7,135,18607.68
EMP-0174,2024-12-29,Engineering,Senior,111484.3,8.6,76.5,2,182,16722.65
EMP-0175,2024-12-31,Marketing,Senior,94617.0,1.6,86.7,4,169,9461.7
EMP-0176,2025-01-01,Engineering,Mid,,3.1,57.5,4,179,
EMP-0177,2025-01-01,Marketing,Mid,90911.11,1.5,92.1,0,161,9091.11
EMP-0178,2025-01-03,Sales,Junior,61246.33,1.0,77.0,4,167,7349.56
EMP-0179,2025-01-06,Finance,Junior,47346.11,12.4,63.5,6,173,5208.07
EMP-0180,2025-01-08,Engineering,Senior,103266.78,1.6,71.3,4,164,15490.02
EMP-0181,2025-01-10,Sales,Senior,103667.29,6.7,78.7,7,140,12440.07
EMP-0182,2025-01-15,Engineering,Lead,156625.99,0.8,72.9,2,165,23493.9
EMP-0183,2025-01-15,Finance,Lead,120103.79,0.7,78.5,4,142,13211.42
EMP-0184,2025-01-18,Finance,Mid,71331.47,0.1,61.0,5,183,7846.46
EMP-0185,2025-01-20,Engineering,Senior,128696.31,3.2,74.0,5,133,19304.45
EMP-0186,2025-01-20,Marketing,Lead,128998.5,1.4,55.0,1,191,12899.85
EMP-0187,2025-01-22,HR,Senior,122220.83,6.0,70.7,5,179,9777.67
EMP-0188,2025-01-30,Marketing,Junior,51990.02,1.9,61.2,3,179,5199.0
EMP-0189,2025-02-03,Sales,Mid,71182.12,10.3,63.2,4,127,8541.85
EMP-0190,2025-02-04,Engineering,Junior,52099.79,0.6,86.8,2,163,7814.97
EMP-0191,2025-02-11,Engineering,Lead,159446.95,6.1,85.1,5,193,23917.04
EMP-0192,2025-02-12,Finance,Mid,95382.29,4.5,79.3,8,160,10492.05
EMP-0193,2025-02-13,Finance,Junior,65014.84,4.4,58.9,4,148,7151.63
EMP-0194,2025-02-13,Marketing,Mid,80709.87,5.6,68.2,9,157,8070.99
EMP-0195,2025-02-14,Sales,Mid,89378.72,4.3,86.6,3,169,10725.45
EMP-0196,2025-02-17,Sales,Mid,74559.5,3.0,73.7,3,-15,8947.14
EMP-0197,2025-02-18,Marketing,Junior,53199.25,0.4,99.8,0,195,5319.93
EMP-0198,2025-02-23,Finance,Mid,96682.75,0.1,76.7,4,169,10635.1
EMP-0199,2025-02-24,Finance,Mid,68416.06,7.6,74.3,4,159,7525.77
EMP-0200,2025-02-24,HR,Senior,97262.38,2.9,68.3,1,144,7780.99
EMP-0201,2025-02-26,Marketing,Mid,74652.36,4.8,,3,180,7465.24
EMP-0202,2025-02-27,Engineering,Senior,94667.42,2.0,70.2,4,179,14200.11
EMP-0203,2025-03-02,Engineering,Mid,73805.93,0.4,80.5,7,154,11070.89
EMP-0204,2025-03-04,Finance,Mid,86657.33,0.4,83.5,4,125,9532.31
EMP-0205,2025-03-10,Marketing,Senior,112042.68,3.5,62.6,3,-8,11204.27
EMP-0206,2025-03-10,Engineering,Mid,96565.49,1.7,56.0,1,166,14484.82
EMP-0207,2025-03-12,Engineering,Junior,64733.76,0.7,50.0,5,177,9710.06
EMP-0208,2025-03-13,Marketing,Junior,54269.98,2.0,78.1,7,209,5427.0
EMP-0209,2025-03-14,Engineering,Senior,104914.63,0.2,58.8,4,169,15737.19
EMP-0210,2025-03-15,Engineering,Mid,80150.16,2.6,46.2,4,160,12022.52
EMP-0211,2025-03-15,Sales,Senior,999999.0,0.9,76.7,1,147,119999.88
EMP-0212,2025-03-16,Marketing,Junior,52647.4,4.8,100.0,8,164,5264.74
EMP-0213,2025-03-16,Marketing,Junior,,1.1,71.9,4,173,
EMP-0214,2025-03-16,Engineering,Junior,55757.06,1.8,82.1,1,171,8363.56
EMP-0215,2025-03-18,Marketing,Mid,85665.51,0.1,73.0,1,204,8566.55
EMP-0216,2025-03-19,Engineering,Mid,81956.05,0.2,70.8,2,180,12293.41
EMP-0217,2025-03-23,Sales,Mid,77422.9,1.5,83.0,4,167,9290.75
EMP-0218,2025-03-27,Marketing,Mid,98350.51,2.0,68.5,0,156,9835.05
EMP-0219,2025-03-29,Marketing,Lead,161761.92,2.7,75.2,7,175,16176.19
EMP-0220,2025-04-06,HR,Junior,49832.49,1.0,75.9,4,152,3986.6
EMP-0221,2025-04-11,Marketing,Mid,95790.98,3.6,64.0,7,174,9579.1
EMP-0222,2025-04-12,Marketing,Senior,114946.97,5.9,83.9,6,180,11494.7
EMP-0223,2025-04-18,Engineering,Mid,96625.67,4.5,69.9,5,166,14493.85
EMP-0224,2025-04-19,Sales,Mid,93595.37,0.1,62.9,7,-20,11231.44
EMP-0225,2025-04-20,Engineering,Senior,112209.39,2.0,78.4,6,126,16831.41
EMP-0226,2025-04-20,Engineering,Lead,120258.28,0.3,61.2,8,193,18038.74
EMP-0227,2025-04-22,Finance,Junior,52660.9,0.8,72.3,4,178,5792.7
EMP-0228,2025-04-24,Sales,Lead,149331.52,13.0,71.9,2,179,17919.78
EMP-0229,2025-04-24,Finance,Mid,88271.3,0.5,85.0,8,139,9709.84
EMP-0230,2025-05-04,Marketing,Junior,52423.53,2.1,77.7,6,198,5242.35
EMP-0231,2025-05-04,HR,Mid,72459.39,2.9,71.7,2,161,5796.75
EMP-0232,2025-05-07,Sales,Lead,165756.09,3.6,81.8,5,164,19890.73
EMP-0233,2025-05-09,Marketing,Mid,99500.87,2.5,88.7,4,149,9950.09
EMP-0234,2025-05-12,Sales,Junior,58315.18,0.1,78.7,3,134,6997.82
EMP-0235,2025-05-14,Engineering,Mid,73493.74,1.2,72.1,4,193,11024.06
EMP-0236,2025-05-19,Marketing,Junior,52740.76,2.2,56.3,3,196,5274.08
EMP-0237,2025-05-21,Engineering,Junior,47154.59,0.3,59.2,3,167,7073.19
EMP-0238,2025-05-22,Engineering,Junior,66864.57,1.3,68.3,6,156,10029.69
EMP-0239,2025-05-25,Marketing,Junior,,0.1,64.7,3,162,
EMP-0240,2025-05-31,Engineering,Junior,59433.36,0.2,69.8,3,163,8915.0
EMP-0241,2025-06-05,Finance,Junior,52779.21,1.5,,3,146,5805.71
EMP-0242,2025-06-06,Finance,Mid,85733.7,0.4,78.4,5,164,9430.71
EMP-0243,2025-06-06,Finance,Junior,61081.25,2.5,71.2,3,173,6718.94
EMP-0244,2025-06-07,Sales,Junior,65004.32,3.5,77.8,4,190,7800.52
EMP-0245,2025-06-10,Engineering,Senior,102582.54,4.8,72.8,3,170,15387.38
EMP-0246,2025-06-10,Finance,Mid,68351.87,0.7,48.3,3,138,7518.71
EMP-0247,2025-06-11,Sales,Mid,72380.34,0.5,60.7,6,177,8685.64
EMP-0248,2025-06-13,Finance,Junior,66550.41,0.3,70.3,4,165,7320.55
EMP-0249,2025-06-14,Finance,Junior,65975.58,3.0,57.5,7,197,7257.31
EMP-0250,2025-06-15,Finance,Junior,,3.7,79.2,0,199,
EMP-0251,2025-06-17,Engineering,Junior,59961.37,0.1,90.4,6,199,8994.21
EMP-0252,2025-06-17,Sales,Junior,61380.81,8.3,86.6,3,159,7365.7
EMP-0253,2025-06-21,Finance,Junior,50608.17,0.2,69.4,4,210,5566.9
EMP-0254,2025-06-23,Sales,Junior,66867.06,2.3,89.9,3,177,8024.05
EMP-0255,2025-06-24,Engineering,Junior,55962.95,3.7,73.8,5,203,8394.44
EMP-0256,2025-06-30,Marketing,Mid,80260.43,6.1,68.0,3,160,8026.04
EMP-0257,2025-07-03,Finance,Junior,58166.19,3.8,64.6,2,164,6398.28
EMP-0258,2025-07-04,Marketing,Mid,69502.91,4.9,68.4,1,175,6950.29
EMP-0259,2025-07-06,Marketing,Mid,73321.07,1.2,67.3,4,173,7332.11
EMP-0260,2025-07-07,Engineering,Mid,91617.08,5.1,74.0,9,195,13742.56
EMP-0261,2025-07-09,Marketing,Junior,48571.57,0.3,73.9,2,165,4857.16
EMP-0262,2025-07-09,Finance,Senior,120038.69,6.8,72.0,6,193,13204.26
EMP-0263,2025-07-11,Engineering,Mid,75851.17,2.4,77.2,5,185,11377.68
EMP-0264,2025-07-11,Sales,Junior,55314.5,5.1,86.3,3,166,6637.74
EMP-0265,2025-07-12,Finance,Senior,106202.52,1.8,83.4,3,183,11682.28
EMP-0266,2025-07-12,Marketing,Lead,138917.67,3.1,54.2,2,161,13891.77
EMP-0267,2025-07-16,Marketing,Junior,62569.01,2.2,41.4,4,217,6256.9
EMP-0268,2025-07-19,Marketing,Junior,53286.68,3.9,83.2,3,117,5328.67
EMP-0269,2025-07-19,Sales,Senior,118421.8,0.3,55.6,1,183,14210.62
EMP-0270,2025-07-22,Engineering,Senior,114446.22,0.2,69.3,5,135,17166.93
EMP-0271,2025-07-30,HR,Junior,61350.77,0.9,58.0,4,165,4908.06
EMP-0272,2025-07-31,HR,Junior,67360.25,0.5,50.4,7,168,5388.82
EMP-0273,2025-08-02,Finance,Mid,91442.31,6.2,,4,200,10058.65
EMP-0274,2025-08-04,Finance,Mid,74878.09,0.7,81.1,7,156,8236.59
EMP-0275,2025-08-09,Sales,Mid,68997.86,11.2,65.1,4,196,8279.74
EMP-0276,2025-08-09,Sales,Mid,76392.45,1.2,40.9,3,146,9167.09
EMP-0277,2025-08-10,HR,Mid,87042.49,0.6,65.4,0,197,6963.4
EMP-0278,2025-08-11,Marketing,Senior,95762.74,4.7,76.7,4,161,9576.27
EMP-0279,2025-08-18,Marketing,Junior,57670.06,3.2,54.3,1,171,5767.01
EMP-0280,2025-08-21,HR,Junior,500000.0,2.1,74.2,3,163,40000.0
EMP-0281,2025-08-22,Finance,Senior,108206.73,2.4,71.8,3,196,11902.74
EMP-0282,2025-08-23,Sales,Senior,127420.14,3.8,79.0,2,192,15290.42
EMP-0283,2025-08-23,Sales,Mid,71411.14,0.8,73.4,5,-5,8569.34
EMP-0284,2025-08-23,Engineering,Mid,70404.41,15.0,60.3,5,147,10560.66
EMP-0285,2025-08-29,Marketing,Junior,,11.0,86.4,5,156,
EMP-0286,2025-08-29,Engineering,Mid,83855.72,3.2,70.1,3,149,12578.36
EMP-0287,2025-08-29,Sales,Mid,90028.88,0.7,71.7,4,125,10803.47
EMP-0288,2025-08-29,Sales,Junior,56316.2,3.4,,0,195,6757.94
EMP-0289,2025-08-30,Engineering,Junior,52170.84,0.2,66.7,3,163,7825.63
EMP-0290,2025-09-01,Marketing,Mid,94211.27,0.1,,3,163,9421.13
EMP-0291,2025-09-01,Engineering,Junior,64337.15,0.9,69.9,8,200,9650.57
EMP-0292,2025-09-02,Engineering,Junior,62033.32,1.9,92.5,4,160,9305.0
EMP-0293,2025-09-04,HR,Junior,52737.19,6.1,55.5,4,153,4218.98
EMP-0294,2025-09-07,Sales,Junior,,3.9,52.6,4,166,
EMP-0295,2025-09-09,Engineering,Junior,54691.43,4.1,89.7,2,147,8203.71
EMP-0296,2025-09-09,Sales,Senior,97529.61,1.7,69.5,5,177,11703.55
EMP-0297,2025-09-09,HR,Mid,97354.03,1.3,64.0,2,163,7788.32
EMP-0298,2025-09-09,Engineering,Mid,72378.2,1.4,84.5,5,160,10856.73
EMP-0299,2025-09-12,Marketing,Senior,135310.44,13.2,64.7,3,158,13531.04
EMP-0300,2025-09-13,Engineering,Mid,82272.18,0.1,93.9,4,168,12340.83
EMP-0301,2025-09-13,Engineering,Junior,50822.92,6.1,80.1,6,172,7623.44
EMP-0302,2025-09-18,Sales,Mid,85340.83,2.6,66.1,3,160,10240.9
EMP-0303,2025-09-20,Sales,Mid,95934.27,1.7,97.9,9,163,11512.11
EMP-0304,2025-09-21,Marketing,Senior,-10000.0,3.9,,4,168,-1000.0
EMP-0305,2025-09-25,Marketing,Mid,93809.96,2.0,80.9,4,166,9381.0
EMP-0306,2025-09-27,Finance,Junior,61243.23,6.2,75.6,1,171,6736.76
EMP-0307,2025-09-29,Sales,Junior,61980.08,6.9,87.6,7,156,7437.61
EMP-0308,2025-09-30,Sales,Mid,95174.26,1.6,90.7,4,190,11420.91
EMP-0309,2025-10-02,HR,Mid,75989.38,1.0,72.4,4,172,6079.15
EMP-0310,2025-10-06,Engineering,Mid,83661.6,2.7,63.0,4,160,12549.24
EMP-0311,2025-10-10,Sales,Mid,75078.7,7.3,77.5,3,177,9009.44
EMP-0312,2025-10-13,Engineering,Lead,174309.41,0.7,63.9,1,169,26146.41
EMP-0313,2025-10-14,Engineering,Mid,98209.9,2.9,96.2,3,135,14731.48
EMP-0314,2025-10-17,Finance,Junior,47617.39,3.0,73.6,9,177,5237.91
EMP-0315,2025-10-19,HR,Junior,62272.65,4.0,67.6,2,150,4981.81
